Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2019;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Sciences juridiques;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;12;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;102;93;86;22;23;87;97;1750;27300;1500;2070;55;7;7.2;1980;;1480;2480;_30;6;3;78;0;;7;0;5;0;1;0;0;5;8;84;2;1;0;0;0;0;0;10;2;0;10;56;1;8;1;2;6;1;1;3;0;6;1;2;19;3;61;0;4;5,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;;Sciences de gestion;217;87;29;5;24;60;95;1460;25000;1300;1630;53;;7.2;1980;;1480;2480;_18;4;4;52;0;;32;1;5;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;4;0;1;3;2;23;8;4;54,,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;30;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;27;85;9.3;1870;;1480;2280;_18;0;53;31;;;11;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;13;24;48;0;15,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;74;80;32;7;43;59;87;1430;22400;ns;ns;42;;7.2;1980;;1480;2480;_30;0;17;42;0;;37;2;1;0;0;1;0;0;49;46;0;4;0;0;0;0;4;3;0;0;33;3;0;0;2;7;39;0;9;0;0;2;1;6;0;11;13;34;3;30,,,,,,,,,,,,,,,,,,
'2019;DUT;30 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Sciences de l''information et de la communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Sciences de l''information et de la communication;136;77;42;6;43;59;81;1420;22100;1280;1550;55;;7.2;1980;;1480;2480;_30;4;12;43;0;;34;1;3;2;0;1;0;4;36;37;2;21;0;0;0;0;2;2;0;2;22;7;0;1;5;6;27;10;7;8;0;3;2;3;1;8;29;24;1;30',,,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;124;93;86;21;26;83;98;1630;25400;1470;1900;39;7;8.6;1865;;1475;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;52;92;85;5;32;73;94;1600;25000;ns;ns;39;42;8.6;1865;;1475;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;179;94;87;16;27;81;97;1620;25200;1450;1900;37;7;8.6;1865;;1475;2280;_30;2;6;73;;;17;0;0;0;1;1;0;2;14;75;7;3;0;;;0;0;6;0;;10;58;1;2;1;1;13;2;1;6;;;;1;16;4;66;2;2;10,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;31;91;88;0;ns;37;100;1500;23400;ns;ns;ns;;8.5;1830;;1450;2180;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;39;83;68;0;54;48;91;1430;22300;ns;ns;32;;8.5;1830;;1450;2180;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;86;79;20;6;39;36;74;1300;20300;ns;ns;34;;8.6;1865;;1475;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;33;88;ns;ns;ns;ns;ns;ns;ns;ns;ns;32;83;8.6;1865;;1475;2280;_18;0;18;44;;;27;0;4;0;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;21;7;9;0;59,,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;114;85;82;16;25;88;97;1510;23500;1400;1670;38;;8.6;1865;;1475;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;4;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;122;86;89;31;26;88;96;1700;26500;1540;2190;39;;7.8;1900;;1470;2330;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;12;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;18;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;189;88;89;23;29;88;96;1700;26500;1500;2010;40;9;7.8;1900;;1470;2330;_30;4;3;82;;;7;1;1;0;2;0;;4;7;86;3;0;0;;0;0;0;8;2;1;6;64;1;5;0;1;6;1;0;5;;;0;1;22;4;62;2;6;3,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.8;1900;;1470;2330;_30;ns;ns;ns;;;ns;ns;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Aide et assistance pour le monitoring et le maintien à domicile;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;2A2M;Aide et assistance pour le monitoring et le maintien à domicile;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;9.9;1870;;1490;2280;2A2M_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Aide et assistance pour le monitoring et le maintien à domicile;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;2A2M;Aide et assistance pour le monitoring et le maintien à domicile;1;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;2A2M_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Aide et assistance pour le monitoring et le maintien à domicile;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;2A2M;Aide et assistance pour le monitoring et le maintien à domicile;5;ns;ns;ns;ns;ns;ns;nd;nd;nd;nd;ns;;9.9;1870;;1490;2280;2A2M_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;107;94;38;8;40;50;53;1400;21800;1200;1480;42;90;9.3;1870;;1480;2280;CS_30;2;10;37;;;44;2;0;0;1;3;0;2;42;3;21;30;1;;;0;2;0;0;;3;0;0;1;4;6;26;44;5;9;;;;5;4;7;22;22;2;38,,,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;69;81;32;0;52;32;74;1400;21700;ns;ns;66;;7.2;1980;;1480;2480;CS_18;0;1;31;0;;55;8;3;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;10;22;18;1;49,,,,,,,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;femmes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;91;87;31;0;24;62;79;1380;21500;ns;ns;45;;8.5;1830;;1450;2180;CS_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;113;82;32;2;28;43;70;1260;19700;1180;1430;45;80;8.5;1830;;1450;2180;CS_18;0;5;38;;;47;1;2;0;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;14;17;17;9;43,,,,,,,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;113;86;32;0;28;57;78;1380;21500;ns;ns;45;80;8.5;1830;;1450;2180;CS_30;0;8;49;;;33;1;2;0;0;8;0;0;34;20;6;38;1;;;2;0;2;0;;5;3;0;1;13;5;14;29;11;19;;;;0;1;12;19;25;7;36,,,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;131;82;35;9;35;46;70;1350;21100;ns;ns;47;78;8.6;1865;;1475;2280;CS_30;2;7;37;;;42;2;2;0;2;5;0;2;35;13;10;39;0;;;1;0;0;1;;6;1;1;1;7;8;17;39;7;12;;;;1;8;5;21;13;1;50,,,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;CS_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;CS;Carrières sociales;134;84;34;1;40;54;77;1360;21200;ns;ns;49;79;7.8;1900;;1470;2330;CS_30;2;11;41;;;41;1;1;0;2;1;;2;36;27;2;33;0;;0;0;0;1;0;1;10;1;1;1;6;6;26;26;8;14;;;0;2;0;11;21;27;3;36,,,,,,,,,,,,,,,,,,
'2013;DUT;18 mois après le diplôme;femmes;Ensemble des départements d''IUT>Ensemble des départements d''IUT>Ensemble des départements d''IUT;ALL;Ensemble des départements d''IUT;disc00;Ensemble des départements d''IUT;disc00;Ensemble des départements d''IUT;914;82;43;5;26;57;83;1350;21100;1200;1520;39;;9.9;1870;;1490;2280;disc00_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,,,
'2016;DUT;18 mois après le diplôme;femmes et hommes;Ensemble des départements d''IUT>Ensemble des départements d''IUT>Ensemble des départements d''IUT;ALL;Ensemble des départements d''IUT;disc00;Ensemble des départements d''IUT;disc00;Ensemble des départements d''IUT;2259;87;55;6;29;60;92;1490;23200;1300;1710;42;38;8.5;1830;;1450;2180;disc00_18;2;4;54;;;26;0;10;0;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;5;45;4;8;33',,,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;334;90;44;7;30;71;95;1560;24300;1300;1800;32;;9.9;1870;;1490;2280;disc01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;334;76;41;6;30;65;94;1510;23500;1240;1740;32;;9.9;1870;;1490;2280;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;472;83;33;5;28;65;94;1500;25000;1300;1750;50;52;7.2;1980;;1480;2480;disc01_18;6;4;56;0;;24;1;7;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;1;6;1;1;3;3;25;6;7;47,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;249;86;30;6;24;60;96;1460;25000;1300;1620;53;;7.2;1980;;1480;2480;disc01_18;5;5;51;0;;31;1;6;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;4;1;2;3;3;21;8;3;54,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;472;93;41;9;28;78;94;1600;25000;1420;2000;50;52;7.2;1980;;1480;2480;disc01_30;7;5;66;0;;18;0;3;0;1;0;0;7;12;73;5;2;2;0;0;0;1;12;2;5;36;5;8;6;6;2;9;2;1;3;1;7;1;1;7;4;27;6;6;40,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;366;92;50;9;28;74;97;1600;25000;1390;1900;39;;8.5;1830;;1450;2180;disc01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;711;93;40;6;24;71;94;1510;23500;1300;1800;44;54;8.5;1830;SD39;1450;2180;disc04_30;4;4;63;;;21;0;5;0;3;0;0;4;9;78;4;3;1;;;1;1;12;3;;40;5;8;5;3;2;7;4;2;9;;;;0;6;3;30;3;4;53,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;669;92;40;5;28;67;93;1490;23300;1270;1800;40;54;8.6;1865;SD39;1475;2280;disc04_30;2;3;63;;;20;0;7;0;4;0;0;3;10;77;6;1;1;;;1;1;10;2;;40;4;11;4;3;3;10;2;1;11;;;;1;5;2;32;2;6;52,,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;669;85;31;4;28;61;88;1400;21800;1200;1600;40;54;8.6;1865;SD39;1475;2280;disc04_18;2;4;55;;;25;1;10;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;2;24;5;7;57,,,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;279;90;41;12;41;52;72;1350;21100;1210;1500;42;74;9.3;1870;;1480;2280;disc07_30;7;8;37;;;39;1;1;0;3;3;0;4;36;3;42;14;0;;;0;1;1;0;;12;15;1;6;3;8;22;17;3;11;;;;2;11;9;21;19;2;37,,,,,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;88;89;53;23;46;62;85;1420;22100;ns;ns;36;;9.3;1870;;1480;2280;disc07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;115;83;51;12;39;60;81;1410;22000;1200;1630;40;;9.9;1870;;1490;2280;disc07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;96;72;56;7;50;66;76;1400;21800;ns;ns;57;;7.2;1980;;1480;2480;disc07_18;14;5;47;1;;18;1;7;3;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;0;9;2;1;4;6;43;9;5;21,,,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;125;83;63;23;52;63;84;1450;22600;1240;1750;40;;8.6;1865;;1475;2280;disc07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;327;78;37;12;40;42;77;1290;20100;1200;1450;43;61;8.6;1865;;1475;2280;disc07_18;3;6;33;;;47;2;3;1;0;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;9;5;19;12;3;50,,,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Ensemble sciences, technologies et santé>Ensemble sciences, technologies et santé;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;949;84;79;9;30;65;96;1500;23400;1310;1730;32;25;9.9;1870;;1490;2280;disc12_18;2;5;60;;;21;0;9;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7;5;66;3;8;10,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Ensemble sciences, technologies et santé>Ensemble sciences, technologies et santé;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;763;90;84;7;31;74;96;1620;25300;1410;1890;35;;7.8;1900;;1470;2330;disc12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Ensemble sciences, technologies et santé>Ensemble sciences, technologies et santé;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;800;88;81;7;32;73;97;1650;25700;1450;1900;31;;9.3;1870;;1480;2280;disc12_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Ensemble sciences, technologies et santé>Ensemble sciences, technologies et santé;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;261;85;82;6;31;57;92;1410;22000;1310;1600;37;;9.9;1870;;1490;2280;disc12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Ensemble sciences, technologies et santé>Ensemble sciences, technologies et santé;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;803;92;82;11;30;81;98;1770;27600;1500;2080;44;21;7.2;1980;;1480;2480;disc12_30;2;7;72;0;;13;0;6;0;0;0;0;2;16;73;7;2;0;0;0;0;1;33;6;0;9;12;1;13;1;1;9;11;1;1;0;2;1;3;8;6;65;4;7;6,,,,,,,,,,,,
