Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2019;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;96;84;30;9;38;58;88;1430;22400;1280;1560;39;79;7.2;1980;;1480;2480;_30;3;17;38;0;;38;2;1;0;0;1;0;3;49;42;2;3;0;0;0;0;3;4;0;0;29;6;0;0;1;7;37;2;10;0;0;3;3;5;1;11;10;37;4;27,,,,,,,,,,,,,,,,,,
'2019;DUT;30 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Sciences de l''information et de la communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Sciences de l''information et de la communication;96;90;53;11;50;65;82;1400;21800;ns;ns;57;;7.2;1980;;1480;2480;_30;11;7;45;2;;18;1;6;4;0;6;0;12;23;38;4;23;0;0;0;1;3;5;1;3;11;23;0;2;6;5;14;16;7;4;1;10;3;3;6;5;36;16;4;17',,,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;74;78;26;6;43;50;74;1370;22400;ns;ns;42;;7.2;1980;;1480;2480;_18;0;14;36;0;;48;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;6;0;12;8;30;2;41,,,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;24;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;;Sciences de gestion;416;92;41;9;28;79;94;1600;25000;1420;2000;50;52;7.2;1980;;1480;2480;_30;7;4;67;0;;18;0;2;0;2;0;0;8;10;75;5;2;0;0;0;0;1;12;2;6;38;5;8;5;6;2;7;3;1;3;1;8;1;0;8;4;28;5;6;40,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Autres formations Droit, économie et gestion;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;;Autres formations Droit, économie et gestion;20;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;;Sciences de gestion;416;84;33;5;28;66;94;1500;25000;1300;1780;50;52;7.2;1980;;1480;2480;_18;5;3;57;0;;24;1;6;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;1;7;1;1;3;2;26;6;7;47,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Sciences juridiques;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.2;1980;;1480;2480;_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Autres sciences humaines et sociales>Autres formations Sciences humaines et sociales;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;;Autres formations Sciences humaines et sociales;25;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.2;1980;;1480;2480;_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;123;83;90;14;26;72;98;1580;24600;1400;1750;49;4;9.3;1870;;1480;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
